       0.0000100000       -0.0000035710       -0.0109058525
       0.0200000000       -0.0071420121      -21.8117050801
       0.0300000000       -0.0107130182      -32.7175576202
       5.0000000000       -1.7855030354    -5452.9262700287
       1.0000000000       -0.3571006071    -1090.5852540057
       1.2500000000       -0.4463757588    -1363.2315675072
       1.5000000000       -0.5356509106    -1635.8778810086
       7.0000000000       -2.4997042495    -7634.0967780402
       7.5000000000       -2.6782545531    -8179.3894050430
       8.5000000000       -3.0353551601    -9269.9746590488
       8.1000000000       -2.8925149173    -8833.7405574465
       8.2000000000       -2.9282249780    -8942.7990828470
       5.9000000000       -2.1068935817    -6434.4529986338
       6.1500000000       -2.1961687335    -6707.0993121353
      10.5000000000       -3.7495563743   -11451.1451670602
      10.7500000000       -3.8388315261   -11723.7914805617
      11.0000000000       -3.9281066778   -11996.4377940631
